LPCX,LPCY,LEYEX,LEYEY,LEYEZ,,,true_x,B,iris_x_m,iris_y_m,,,iris_x,iris_y,iris_x_p,iris_y_p
0.36785,0.46486,-0.03057,0.00475,0.60309,,,555.848,-270.6992,876.848,444.6992,,147,552.7649807,-269.9904431,553.3208662,-269.1309055
0.36831,0.46491,-0.03057,0.00475,0.60309,,,556.4368,-270.7352,877.4368,444.7352,,148,553.6740306,-268.4754802,553.6467365,-267.9897045
0.3686,0.46503,-0.03057,0.00475,0.60309,,,556.808,-270.8216,877.808,444.8216,,149,553.9940188,-267.22959,553.7906105,-267.2583853
0.36976,0.46501,-0.03182,0.00507,0.63719,,,553.2928,-270.8072,879.2928,444.8072,,150,554.0940564,-266.5044764,554.3128509,-266.9544667
0.3703,0.46494,-0.03182,0.00507,0.63719,,,553.984,-270.7568,879.984,444.7568,,151,554.6634491,-266.2975349,554.4188445,-266.3575506
0.37062,0.46499,-0.03182,0.00507,0.63719,,,554.3936,-270.7928,880.3936,444.7928,,152,554.7167281,-265.7135527,554.1153957,-266.5776023
0.37176,0.46486,-0.0281,0.0045,0.57128,,,555.8528,-270.6992,881.8528,444.6992,,153,554.2836867,-266.1198149,553.9283886,-267.0194777
0.37204,0.46482,-0.0281,0.0045,0.57128,,,556.2112,-270.6704,882.2112,444.6704,,154,554.0201097,-266.7555759,553.2422357,-267.4034479
0.37239,0.46491,-0.0281,0.0045,0.57128,,,556.6592,-270.7352,882.6592,444.7352,,155,553.1663178,-267.2791684,552.7317607,-267.9682356
0.37357,0.46497,-0.03018,0.0049,0.62209,,,553.1696,-270.7784,884.1696,444.7784,,156,552.5621919,-267.9924563,553.0090403,-268.5066412
0.37404,0.46495,-0.03018,0.0049,0.62209,,,553.7712,-270.764,884.7712,444.764,,157,552.9357713,-268.6416734,552.7665343,-268.8766727
0.37422,0.46494,-0.03018,0.0049,0.62209,,,554.0016,-270.7568,885.0016,444.7568,,158,552.6567932,-269.0623495,552.9397412,-268.715365
0.37517,0.46488,-0.03064,0.00509,0.64053,,,553.2396266,-270.7136,886.2176,444.7136,,159,552.890978,-268.8262635,553.2179289,-268.3519187
0.37568,0.46492,-0.03064,0.00509,0.64053,,,552.9539976,-270.7424,886.8704,444.7424,,160,553.2396266,-268.3605916,552.9867887,-268.4942349
0.37584,0.46506,-0.03064,0.00509,0.64053,,,553.7305511,-270.8432,887.0752,444.8432,,161,552.9539976,-268.5317091,553.6198459,-268.9796473
0.37659,0.46497,-0.02903,0.00483,0.61363,,,554.3980371,-270.7784,888.0352,444.7784,,162,553.7305511,-269.1136563,554.188615,-269.0219303
0.37664,0.46477,-0.02903,0.00483,0.61363,,,554.2653383,-270.6344,888.0992,444.6344,,163,554.3980371,-269.1361715,554.116574,-268.8732633
0.37676,0.46498,-0.02903,0.00483,0.61363,,,553.0811373,-270.7856,888.2528,444.7856,,164,554.2653383,-268.9308453,553.168707,-269.6132737
0.37722,0.46477,-0.02978,0.00509,0.63431,,,552.4288008,-270.6344,888.8416,444.6344,,165,553.0811373,-269.8179252,552.6165034,-269.7309758
0.37762,0.46472,-0.02978,0.00509,0.63431,,,552.2789022,-270.5984,889.3536,444.5984,,166,552.4288008,-269.916889,552.4599021,-269.2150095
0.37779,0.46491,-0.02978,0.00509,0.63431,,,552.2846652,-270.7352,889.5712,444.7352,,167,552.2789022,-269.2496612,552.4325522,-269.0400624
0.37807,0.46491,-0.02781,0.0047,0.59716,,,553.0009966,-270.7352,889.9296,444.7352,,168,552.2846652,-269.0295437,552.9956581,-269.5082184
0.37877,0.46492,-0.02781,0.0047,0.59716,,,553.3195875,-270.7424,890.8256,444.7424,,169,553.0009966,-269.6008584,553.2587095,-270.110558
0.3788,0.46493,-0.02781,0.0047,0.59716,,,553.4495226,-270.7496,890.864,444.7496,,170,553.3195875,-270.3130429,553.3764008,-269.7836647
0.37928,0.46493,-0.02742,0.00468,0.59372,,,554.5972586,-270.7496,891.4784,444.7496,,171,553.4495226,-269.8720639,554.3336084,-269.3693272
0.3795,0.46498,-0.02742,0.00468,0.59372,,,555.280918,-270.7856,891.76,444.7856,,172,554.5972586,-269.349382,554.9428003,-269.8625923
0.37956,0.46503,-0.02742,0.00468,0.59372,,,554.7509102,-270.8216,891.8368,444.8216,,173,555.280918,-269.9532486,554.5667107,-270.5177539
0.38016,0.46494,-0.02838,0.00483,0.61933,,,553.8539912,-270.7568,892.6048,444.7568,,174,554.7509102,-270.7300662,553.8614735,-270.6934568
0.38027,0.46509,-0.02838,0.00483,0.61933,,,553.8647688,-270.8648,892.7456,444.8648,,175,553.8539912,-270.8978795,553.8690136,-270.5150982
0.38065,0.46517,-0.02838,0.00483,0.61933,,,554.0406312,-270.9224,893.232,444.9224,,176,553.8647688,-270.637028,554.012943,-270.6356658
0.38125,0.46516,-0.02882,0.00495,0.63414,,,553.4196744,-270.9152,894,444.9152,,177,554.0406312,-270.7573021,553.5069906,-270.4655973
0.38142,0.4651,-0.02882,0.00495,0.63414,,,552.7433158,-270.872,894.2176,444.872,,178,553.4196744,-270.5243686,552.935069,-269.9817593
